,发帖日期,帖子总数量,积极帖子数量,中立帖子数量,消极帖子数量,帖子平均阅读量,帖子平均评论量,帖子平均点赞量,积极帖子平均阅读量,积极帖子平均评论量,积极帖子平均点赞量,中立帖子平均阅读量,中立帖子平均评论量,中立帖子平均点赞量,消极帖子平均阅读量,消极帖子平均评论量,消极帖子平均点赞量
177,2021-4-28,410,98,32,280,1968.56,2.6,3.01,434.69,2.18,3.13,440.81,2.13,3.34,1979.9,2.81,2.93
178,2021-4-29,355,100,33,222,1467.09,2.53,3.73,1474.02,2.23,3.42,1371.0,2.0,3.84,1549.64,2.74,3.85
179,2021-4-30,261,89,24,148,450.26,3.18,3.57,404.98,2.38,3.61,463.21,3.58,4.21,475.4,3.59,3.44
180,2021-5-1,48,14,4,30,680.56,3.88,5.85,663.79,4.29,7.29,617.25,2.25,9.5,696.83,3.9,4.7
181,2021-5-2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,2021-5-3,70,18,8,44,603.23,2.13,5.1,615.33,2.0,5.17,372.38,1.0,5.75,640.25,2.39,4.95
183,2021-5-4,36,8,3,25,1814.46,1.8,4.49,1103.25,5.0,5.75,625.33,1.33,5.33,1613.5,0.79,3.96
184,2021-5-5,95,27,6,62,472.96,2.68,3.84,487.15,3.48,4.19,656.17,1.83,4.67,449.05,2.42,3.61
185,2021-5-6,123,45,11,67,520.92,3.25,4.11,482.78,2.91,4.04,432.82,2.27,3.55,561.0,3.64,4.25
186,2021-5-7,150,47,13,90,515.04,3.04,4.53,474.02,2.13,4.83,583.92,5.0,4.92,526.51,3.23,4.32
187,2021-5-8,47,18,5,24,1315.44,3.13,7.56,823.78,4.22,8.17,171.0,0.0,2.6,1332.77,2.95,8.18
188,2021-5-9,55,22,4,29,784.15,8.09,7.16,798.09,10.14,6.59,1072.5,16.25,8.75,733.79,5.41,7.38
189,2021-5-10,179,52,18,109,1114.98,5.04,3.66,1089.0,2.74,3.7,1307.88,3.31,4.0,1102.94,9.36,3.6
190,2021-5-11,178,76,6,96,1174.09,3.78,4.44,674.25,4.72,5.45,292.83,1.83,2.0,1112.8,3.14,3.79
191,2021-5-12,203,85,19,99,1181.82,4.81,4.28,1171.71,3.82,4.49,435.53,2.84,3.79,1251.59,6.06,4.19
192,2021-5-13,223,89,22,112,1087.09,4.28,4.01,1061.34,3.63,4.09,530.18,4.23,3.32,1105.72,4.59,4.09
193,2021-5-14,192,87,13,92,1170.54,6.05,4.64,1146.49,3.6,5.48,642.46,4.85,5.62,1185.32,8.3,3.71
194,2021-5-15,72,32,3,37,700.79,5.1,5.69,658.22,4.56,5.44,219.67,0.0,2.0,776.62,5.97,6.22
195,2021-5-16,105,35,8,62,1195.52,4.15,5.73,1440.92,2.52,5.39,581.14,3.57,5.43,656.98,5.08,5.94
196,2021-5-17,233,80,20,133,1107.5,4.32,4.64,537.83,3.0,4.98,457.8,3.15,3.45,1143.89,4.53,4.62
197,2021-5-18,200,82,13,105,1103.06,3.96,5.34,592.29,3.05,5.35,600.85,4.0,5.77,1138.66,4.68,5.28
